ID,Disc Dice,Cup Dice
drishtiGS_001,0.0,0.0
drishtiGS_003,0.86894506,0.21137804
drishtiGS_005,0.8622751,0.43552974
drishtiGS_006,0.52485883,0.25809917
drishtiGS_011,0.8431223,0.3969962
drishtiGS_014,0.0,0.0
drishtiGS_019,0.7843833,0.24248868
drishtiGS_020,0.8895741,0.36125594
drishtiGS_021,0.72754407,0.57104146
drishtiGS_023,0.0,0.0
drishtiGS_025,0.77863955,0.4373385
drishtiGS_027,0.0,0.0
drishtiGS_028,0.6708479,0.20473798
drishtiGS_029,0.76974905,0.22956008
drishtiGS_030,0.8045791,0.38057846
drishtiGS_034,0.5939216,0.18401028
drishtiGS_039,0.71747583,0.3820154
drishtiGS_043,0.82914066,0.3182174
drishtiGS_048,0.82375085,0.37811506
drishtiGS_050,0.54691523,0.1111861
drishtiGS_052,0.8838119,0.38626167
drishtiGS_053,0.7005642,0.21957226
drishtiGS_054,0.7767517,0.16021855
drishtiGS_055,0.7870902,0.40604413
drishtiGS_056,0.0,0.0
drishtiGS_059,0.049043354,0.0
drishtiGS_065,0.82271993,0.29366496
drishtiGS_067,0.67526376,0.335323
drishtiGS_070,0.63579255,0.23863687
drishtiGS_071,0.62835115,0.23473346
drishtiGS_073,0.73515964,0.33875254
drishtiGS_074,0.0,0.0
drishtiGS_077,0.8470893,0.41045207
drishtiGS_079,0.0,0.0
drishtiGS_082,0.8703247,0.31524995
drishtiGS_083,0.89010143,0.5222466
drishtiGS_086,0.67588663,0.42242905
drishtiGS_087,0.9224939,0.46549246
drishtiGS_007,0.7824475,0.47048846
drishtiGS_009,0.6953497,0.5187405
drishtiGS_013,0.7562021,0.57582843
drishtiGS_072,0.0,0.0
drishtiGS_078,0.633553,0.48540562
drishtiGS_085,0.68055683,0.4343119
drishtiGS_091,0.621515,0.32836026
drishtiGS_093,0.5487369,0.17665349
drishtiGS_095,0.6191234,0.4799659
drishtiGS_096,0.0035796824,0.0
drishtiGS_097,0.5778277,0.44439593
drishtiGS_099,0.73390543,0.48548865
drishtiGS_100,0.54223174,0.0
